first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,predicted 3 year profit
Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,0.82,1.025,1.025,1.025,285,285,1.04125,7.714285714285714
Nobe,Trowsdale,Male,12,1968-07-12,Community Outreach Specialist,Financial Services,Mass Customer,N,No,16,36506 Bartillon Point,3816,VIC,Australia,3,1.09,1.09,1.09,0.9265,658,658,0.7124999999999999,7.714285714285714
Giselbert,Pickring,Male,94,1959-07-28,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,20,653 2nd Park,2766,NSW,Australia,8,0.52,0.65,0.8125,0.8125,662,662,0.711875,7.714285714285714
Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,0.46,0.46,0.5750000000000001,0.5750000000000001,19,19,1.53125,7.714285714285714
Tillie,Bisseker,Female,74,1960-08-10,Civil Engineer,Manufacturing,High Net Worth,N,No,14,59208 Barnett Avenue,2104,NSW,Australia,12,0.87,0.87,1.0875,1.0875,967,967,0.4356249999999999,7.714285714285714
Cobbie,Bruyett,Male,20,1956-03-19,Associate Professor,,Mass Customer,N,Yes,20,8593 Prairie Rose Way,2500,NSW,Australia,8,0.46,0.5750000000000001,0.5750000000000001,0.48875,674,674,0.703125,7.6
Emilie,Brody,Female,3,1979-05-22,Director of Sales,,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.77,0.9625,1.203125,1.02265625,163,163,1.18203125,7.6
Suzy,Trounson,Female,13,1947-07-19,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,0627 Golf Center,4152,QLD,Australia,9,0.74,0.925,1.15625,0.9828125,420,420,0.91375,7.6
Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,1.07,1.3375,1.3375,1.136875,46,46,1.4078125,7.6
Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.62,0.62,0.775,0.65875,78,78,1.3375,7.6
Augustus,Bourley,Male,60,1981-08-17,,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,0.97,0.97,1.2125,1.2125,366,366,0.9750000000000001,7.6
Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,1.07,1.3375,1.671875,1.671875,142,142,1.23515625,7.580645161290323
Bastien,Ibbeson,Male,53,1976-11-04,Software Consultant,IT,Mass Customer,N,No,12,43094 Kedzie Pass,2487,NSW,Australia,5,0.79,0.79,0.79,0.6715,401,401,0.935,7.580645161290323
Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,0.91,1.1375,1.1375,0.9668749999999999,104,104,1.2875,7.580645161290323
Daisi,Tinwell,Female,84,1971-12-24,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,1.07,1.07,1.3375,1.136875,366,366,0.9750000000000001,7.580645161290323
Rolland,Esmead,Male,41,1940-07-13,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,0.93,0.93,0.93,0.93,233,233,1.1,7.580645161290323
Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,0.55,0.6875,0.859375,0.73046875,158,158,1.1875,7.580645161290323
Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,0.6,0.6,0.75,0.6375,241,241,1.0875,7.580645161290323
Boothe,Hayselden,Male,42,1940-05-18,Computer Systems Analyst III,Health,Mass Customer,N,Yes,17,33 Pond Point,2291,NSW,Australia,10,0.51,0.6375,0.796875,0.67734375,817,817,0.5864999999999999,7.580645161290323
Fancie,Woofendell,Female,68,1966-09-17,Research Nurse,Health,Mass Customer,N,Yes,6,8 Crowley Center,4212,QLD,Australia,7,0.59,0.7374999999999999,0.7374999999999999,0.626875,733,733,0.6625000000000001,7.580645161290323
Kariotta,Naper,Female,8,1952-04-07,VP Sales,Health,Mass Customer,N,No,21,87 Crescent Oaks Alley,2756,NSW,Australia,10,0.93,0.93,1.1625,0.988125,676,676,0.70125,7.580645161290323
Keenan,Moriarty,Male,67,1994-12-23,Actuary,Financial Services,Mass Customer,N,Yes,2,077 Hansons Point,4075,QLD,Australia,8,0.95,1.1875,1.1875,1.009375,684,684,0.7,7.580645161290323
Tristam,Larose,Male,70,1985-01-29,VP Accounting,Financial Services,Mass Customer,N,No,17,9645 Moose Terrace,2137,NSW,Australia,11,0.53,0.53,0.6625000000000001,0.5631250000000001,455,455,0.8925,7.580645161290323
Beatrix,McGivena,Female,26,1966-10-18,Assistant Manager,Health,Mass Customer,N,Yes,9,6 Sutherland Parkway,4879,QLD,Australia,10,0.62,0.775,0.96875,0.8234374999999999,715,715,0.67734375,7.580645161290323
Marie-jeanne,Breawood,Female,37,1953-10-12,Clinical Specialist,Health,High Net Worth,N,No,8,6 Prairieview Pass,2770,NSW,Australia,6,1.07,1.07,1.07,1.07,871,871,0.541875,7.580645161290323
Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,0.7,0.875,0.875,0.875,146,146,1.225,7.580645161290323
Lisette,Davers,Female,59,1940-10-26,Developer III,Health,High Net Worth,N,No,17,504 Stuart Pass,2130,NSW,Australia,11,0.76,0.76,0.95,0.95,662,662,0.711875,7.580645161290323
Ginger,,Male,94,1939-02-19,Human Resources Manager,,Mass Customer,N,No,11,160 Fremont Point,2259,NSW,Australia,8,0.65,0.65,0.8125,0.6906249999999999,840,840,0.57109375,7.580645161290323
Bunny,Leebetter,Female,83,1966-04-30,Quality Engineer,Manufacturing,High Net Worth,N,Yes,8,4 Lukken Lane,4301,QLD,Australia,4,0.46,0.5750000000000001,0.7187500000000001,0.7187500000000001,444,444,0.9,7.580645161290323
Beverlee,Ungerechts,Female,49,1973-10-03,Civil Engineer,Manufacturing,Mass Customer,N,No,8,602 Toban Center,4020,QLD,Australia,7,0.84,0.84,0.84,0.714,617,617,0.7543749999999999,7.580645161290323
Diego,Van den Broek,Male,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,1.0,1.25,1.25,1.25,345,345,0.988125,7.580645161290323
Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.41,0.41,0.41,0.3485,212,212,1.136875,7.580645161290323
Bobby,Summersby,Male,90,1943-10-27,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,Australia,2,0.8,0.8,1.0,1.0,575,575,0.796875,7.580645161290323
Kirsteni,Gritskov,Female,66,1998-05-12,,,Mass Customer,N,No,4,743 Stuart Terrace,2560,NSW,Australia,7,0.58,0.58,0.58,0.4929999999999999,575,575,0.796875,7.580645161290323
Nicole,Ruckhard,Female,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,1.02,1.275,1.59375,1.59375,341,341,0.99,7.580645161290323
Leona,Shorrock,Female,83,1951-08-23,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,22,1560 Grim Avenue,4720,QLD,Australia,1,0.44,0.55,0.6875,0.6875,979,979,0.4165,7.580645161290323
Wheeler,Godsil,Male,51,1993-09-20,Geologist IV,Manufacturing,Affluent Customer,N,Yes,6,7 Spaight Drive,2147,NSW,Australia,9,0.65,0.8125,1.015625,1.015625,626,626,0.74375,7.580645161290323
Caitrin,Critten,Female,45,1973-01-29,Director of Sales,Manufacturing,Mass Customer,N,Yes,10,25 Lakeland Point,4113,QLD,Australia,7,0.73,0.9125,0.9125,0.775625,603,603,0.7703125,7.580645161290323
Terrel,Keynd,Male,30,1961-04-20,Junior Executive,Manufacturing,Mass Customer,N,No,9,65 David Pass,4221,QLD,Australia,7,0.84,0.84,0.84,0.714,626,626,0.74375,7.580645161290323
Hussein,Tapenden,Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,0.6,0.75,0.75,0.75,349,349,0.9875,7.580645161290323
Byrom,Ramas,Male,23,1993-11-02,Help Desk Technician,Manufacturing,High Net Worth,N,No,12,2 Jackson Place,2528,NSW,Australia,7,0.57,0.57,0.57,0.57,555,555,0.8125,6.875
Marinna,Kauschke,Female,21,1973-03-15,Sales Associate,Financial Services,Affluent Customer,N,Yes,8,9 Forster Circle,3174,VIC,Australia,3,0.86,1.075,1.075,1.075,595,595,0.775625,6.875
Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,0.94,0.94,0.94,0.7989999999999999,244,244,1.08375,6.875
Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.89,0.89,0.89,0.89,44,44,1.42109375,6.875
Lyndell,Jereatt,Female,14,1994-11-28,Payment Adjustment Coordinator,,High Net Worth,N,No,13,58770 Monterey Plaza,2122,NSW,Australia,12,0.5,0.5,0.625,0.625,954,954,0.45,6.875
Wallace,Newart,Male,91,1977-12-06,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.68,0.68,0.8500000000000001,0.7225,223,223,1.115625,6.769230769230769
Rafi,Brettelle,Male,89,1956-08-12,Operator,Health,High Net Worth,N,No,6,11 Brickson Park Alley,2166,NSW,Australia,10,0.61,0.61,0.7625,0.7625,786,786,0.61625,6.769230769230769
Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,1.08,1.35,1.35,1.35,320,320,1.015625,6.769230769230769
Elvin,Trayhorn,Male,46,1993-06-02,VP Accounting,Financial Services,High Net Worth,N,No,10,79 Sheridan Point,2231,NSW,Australia,10,1.03,1.03,1.2875,1.2875,774,774,0.626875,6.769230769230769
Briana,Trill,Female,5,1944-03-18,Health Coach III,Health,High Net Worth,N,No,11,0433 La Follette Road,2137,NSW,Australia,11,0.41,0.41,0.5125,0.5125,672,672,0.7039062500000001,6.565217391304348
Riki,Wandtke,Female,25,1962-05-12,Librarian,Entertainment,Mass Customer,N,Yes,5,435 Mitchell Street,4115,QLD,Australia,7,1.07,1.3375,1.3375,1.136875,748,748,0.65078125,6.565217391304348
Jim,Haddrell,Male,55,1955-04-08,Associate Professor,Financial Services,Mass Customer,N,No,9,53 Dryden Trail,2358,NSW,Australia,3,0.82,0.82,0.82,0.697,530,530,0.8287500000000001,6.565217391304348
Don,Spratling,Male,82,1969-01-05,Associate Professor,Property,Affluent Customer,N,Yes,7,078 Erie Point,2760,NSW,Australia,10,1.05,1.3125,1.640625,1.640625,963,963,0.44,6.565217391304348
Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.44,0.44,0.44,0.44,223,223,1.115625,6.565217391304348
Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,0.48,0.48,0.6,0.6,85,85,1.325,6.54054054054054
Harlene,Nono,U,69,,Human Resources Manager,IT,Mass Customer,N,No,12,0307 Namekagon Crossing,2170,NSW,Australia,7,0.76,0.76,0.76,0.646,575,575,0.796875,6.54054054054054
Terrence,Dalligan,Male,60,1998-02-19,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,2,240 Main Hill,3200,VIC,Australia,6,0.89,1.1125,1.1125,1.1125,544,544,0.8245,6.54054054054054
Erhard,O'Moylane,Male,33,1978-05-27,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,334,334,0.9987499999999998,6.54054054054054
Carita,Sand,Female,25,1977-03-20,Quality Engineer,Retail,Mass Customer,N,No,16,846 Loftsgordon Crossing,2154,NSW,Australia,11,0.81,0.81,1.0125,0.8606250000000001,464,464,0.8906249999999999,6.54054054054054
Kit,Easdon,Male,61,1978-10-26,Director of Sales,Property,Affluent Customer,N,No,12,3 Roth Junction,3156,VIC,Australia,8,0.71,0.71,0.71,0.71,433,433,0.90625,6.54054054054054
Lela,Billing,Female,38,1970-12-17,Programmer Analyst III,,Mass Customer,N,Yes,18,095 Glacier Hill Circle,2571,NSW,Australia,7,0.51,0.6375,0.6375,0.541875,468,468,0.8898437499999999,6.54054054054054
Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,1.01,1.2625,1.578125,1.578125,68,68,1.3546875,6.54054054054054
Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,0.57,0.7124999999999999,0.8906249999999999,0.7570312499999999,219,219,1.125,6.54054054054054
Latrena,Yetts,Female,11,1999-06-18,Civil Engineer,Manufacturing,High Net Worth,N,Yes,15,53877 Dakota Crossing,2871,NSW,Australia,3,0.98,1.225,1.225,1.225,893,893,0.520625,6.54054054054054
Abbie,Oldman,Male,82,1983-11-26,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.45,0.5625,0.703125,0.703125,212,212,1.136875,6.54054054054054
Jacklin,Duchant,Female,77,1940-03-18,Legal Assistant,Argiculture,Mass Customer,N,No,17,9 Memorial Road,4132,QLD,Australia,4,0.9,0.9,0.9,0.765,939,939,0.4675,6.54054054054054
Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,0.63,0.7875,0.7875,0.6693749999999999,215,215,1.12890625,6.54054054054054
My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,0.65,0.8125,1.015625,1.015625,133,133,1.2375,6.54054054054054
Barth,Weare,Male,18,1946-08-22,Clinical Specialist,Health,Mass Customer,N,Yes,8,784 Lotheville Court,2541,NSW,Australia,5,0.44,0.55,0.55,0.4675,708,708,0.68,6.54054054054054
Stephi,Highton,Female,30,1987-09-09,Software Engineer I,Telecommunications,Mass Customer,N,Yes,12,293 Mendota Park,2154,NSW,Australia,10,0.86,1.075,1.34375,1.1421875,930,930,0.478125,6.54054054054054
Ricki,Padefield,Male,43,1948-08-03,Automation Specialist III,Manufacturing,Affluent Customer,N,Yes,13,860 Barby Lane,4275,QLD,Australia,9,0.81,1.0125,1.265625,1.265625,877,877,0.54,6.54054054054054
Marc,Keunemann,Male,57,1972-09-04,Dental Hygienist,Health,Affluent Customer,N,Yes,14,283 Golf View Lane,2747,NSW,Australia,8,1.01,1.2625,1.2625,1.2625,708,708,0.68,6.5
Cliff,Philipsson,Male,82,1967-02-02,Structural Analysis Engineer,Argiculture,Mass Customer,N,No,16,600 Artisan Drive,3149,VIC,Australia,10,0.87,0.87,1.0875,0.924375,500,500,0.86,6.5
Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,0.85,0.85,1.0625,0.903125,158,158,1.1875,6.5
Matias,Melloi,Male,61,1977-02-03,Legal Assistant,Retail,Affluent Customer,N,No,11,1507 Schlimgen Trail,2155,NSW,Australia,10,0.83,0.83,1.0375,1.0375,444,444,0.9,6.5
Ewell,Paulusch,Male,31,1998-01-15,Engineer I,Manufacturing,Mass Customer,N,Yes,8,8194 Lien Street,4032,QLD,Australia,7,1.03,1.2875,1.2875,1.094375,620,620,0.75,6.5
Dwain,Hatch,Male,62,1994-11-16,Marketing Assistant,Health,Affluent Customer,N,No,15,5 Hovde Lane,3028,VIC,Australia,8,1.05,1.05,1.05,1.05,536,536,0.8250000000000001,6.5
Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,23,23,1.5,6.5
Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,0.44,0.55,0.55,0.4675,142,142,1.23515625,6.5
Donaugh,Benedict,Male,3,1991-12-01,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9,0.41,0.41,0.5125,0.4356249999999999,420,420,0.91375,6.5
Giulia,Hazart,Female,57,1978-08-02,Help Desk Technician,,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,0.57,0.57,0.7124999999999999,0.6056249999999999,371,371,0.96875,6.5
Cord,Dunsmore,Male,12,1999-04-21,Internal Auditor,Manufacturing,Mass Customer,N,Yes,13,596 Boyd Park,4301,QLD,Australia,3,1.0,1.25,1.25,1.0625,552,552,0.816,6.357142857142857
Burt,Vasechkin,Male,33,1950-04-15,Senior Sales Associate,Retail,Mass Customer,N,Yes,20,89100 Rusk Crossing,3338,VIC,Australia,2,0.49,0.6125,0.6125,0.520625,751,751,0.648125,6.357142857142857
Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,0.65,0.65,0.65,0.5525,154,154,1.203125,6.357142857142857
Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.75,0.75,0.75,0.6375,215,215,1.12890625,6.357142857142857
Cathleen,Le Teve,Female,75,1950-11-06,Recruiting Manager,,High Net Worth,N,No,18,32834 Caliangt Way,4211,QLD,Australia,3,0.41,0.41,0.41,0.41,691,691,0.6906249999999999,6.357142857142857
Farris,Skettles,Male,38,1965-07-03,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,1.05,1.3125,1.3125,1.115625,132,132,1.2484375,6.357142857142857
Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,1.1,1.1,1.1,0.935,102,102,1.28828125,6.357142857142857
Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,0.59,0.59,0.59,0.5015,26,26,1.46875,6.357142857142857
Tyne,Anshell,Female,71,1992-04-08,Mechanical Systems Engineer,,Mass Customer,N,Yes,3,93 Sutherland Terrace,2560,NSW,Australia,8,0.51,0.6375,0.6375,0.541875,979,979,0.4165,6.357142857142857
Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,96,96,1.3,6.357142857142857
Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,0.99,0.99,1.2375,1.051875,322,322,1.0125,6.357142857142857
Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,0.4,0.4,0.5,0.5,324,324,1.01,6.357142857142857
Haskell,Moxted,Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,0.61,0.61,0.7625,0.648125,334,334,0.9987499999999998,6.357142857142857
Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,0.91,1.1375,1.1375,1.1375,46,46,1.4078125,6.357142857142857
Lucilia,Minshall,Female,71,1952-04-15,,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,0.86,1.075,1.075,0.91375,345,345,0.988125,6.357142857142857
Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,0.89,1.1125,1.1125,0.945625,26,26,1.46875,6.357142857142857
Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,0.4,0.5,0.625,0.625,144,144,1.234375,6.2
Fitzgerald,Hellikes,Male,25,1979-07-28,Media Manager IV,Health,Mass Customer,N,Yes,10,315 Center Park,3040,VIC,Australia,7,0.83,1.0375,1.0375,0.8818749999999999,478,478,0.88,6.2
Giralda,MacPeake,Female,59,1941-04-04,Librarian,Entertainment,High Net Worth,N,Yes,14,6 Killdeer Way,2705,NSW,Australia,1,0.93,1.1625,1.1625,1.1625,441,441,0.901,6.052631578947368
Nora,Anselm,Female,84,1961-01-05,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,0.76,0.95,1.1875,1.1875,396,396,0.9375,6.052631578947368
Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,0.72,0.8999999999999999,1.125,1.125,271,271,1.06,6.052631578947368
Ilise,Clissold,Female,58,1987-11-16,Developer IV,Entertainment,High Net Worth,N,No,9,659 Comanche Plaza,2153,NSW,Australia,10,0.8,0.8,1.0,1.0,913,913,0.4993749999999999,6.052631578947368
Marissa,O'Scandall,Female,17,1973-07-13,,,Affluent Customer,N,Yes,7,45000 Randy Court,3199,VIC,Australia,7,0.87,1.0875,1.0875,1.0875,626,626,0.74375,6.052631578947368
Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,0.9,0.9,1.125,0.9562499999999999,17,17,1.546875,6.052631578947368
Eugenie,Brinson,Female,79,1963-08-10,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,17,7109 Grayhawk Avenue,3073,VIC,Australia,6,0.94,1.175,1.175,0.9987499999999998,936,936,0.476,6.045454545454546
Ajay,Worham,Female,80,1979-09-30,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,12,5 Homewood Road,2800,NSW,Australia,6,1.02,1.275,1.275,1.08375,606,606,0.7649999999999999,6.045454545454546
Linette,Boman,Female,56,1949-05-20,Account Executive,,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,0.6,0.6,0.75,0.75,304,304,1.025,6.045454545454546
Benedict,Rosas,Male,73,1955-11-25,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,Australia,6,0.92,1.15,1.15,1.15,563,563,0.8075,6.045454545454546
Jamal,Dudgeon,Male,83,1965-02-09,Mechanical Systems Engineer,Financial Services,Mass Customer,N,No,7,2712 Namekagon Crossing,3029,VIC,Australia,5,0.81,0.81,1.0125,0.8606250000000001,591,591,0.782,6.045454545454546
Mycah,Beaston,Male,11,1961-07-31,Environmental Specialist,,High Net Worth,N,Yes,12,2 Mandrake Street,2221,NSW,Australia,11,1.09,1.3625,1.703125,1.703125,865,865,0.55,6.045454545454546
Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,0.54,0.54,0.675,0.57375,146,146,1.225,6.045454545454546
Randall,Mason,Male,95,1974-07-28,Product Engineer,Health,Mass Customer,N,Yes,12,83497 Memorial Plaza,2570,NSW,Australia,11,1.06,1.325,1.65625,1.4078125,870,870,0.544,6.045454545454546
Alfi,Sabbins,Female,63,1959-06-12,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,304,304,1.025,6.045454545454546
Zachariah,Meininking,Male,40,1938-06-09,Cost Accountant,Financial Services,Affluent Customer,N,Yes,20,24815 Lindbergh Avenue,2749,NSW,Australia,7,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,883,883,0.53125,6.045454545454546
Colas,Gabbitas,Male,98,1946-09-09,Staff Scientist,Retail,High Net Worth,N,No,20,3094 Elka Place,2166,NSW,Australia,9,0.66,0.66,0.8250000000000001,0.8250000000000001,939,939,0.4675,6.045454545454546
